,platform,title,date,place,artist,url,imageUrl
67,InterPark Ticket,제11회 칠포재즈페스티벌,2017.09.22 ~ 2017.09.24,칠포재즈페스티벌 상설무대,"에릭 베네, 바우터 하멜, 자이언티, 자우림, 이하이, 말로, 이한진밴드, 크러쉬, JSFA, 웅산, 엑시트, 두번째달, 10cm",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17008651,http://ticketimage.interpark.com/Play/image/large/17/17008651_p.gif
68,InterPark Ticket,2017 THE CRY ground 일반티켓,2017.10.14 ~ 2017.10.15,서울 난지한강공원,"도끼, 더콰이엇, 허클베리피, 레디, 창모, 김효은, 해쉬스완, 딥플로우, 넉살, 던밀스, 오케이션, 다이나믹 듀오, 싸이, 스윙스, 리듬파워, 기리보이, 로꼬, 지코, 올티, 크러쉬, 그레이, 씨잼, 천재노창, 한해, 서사무엘, JUSTHIS, 헤이즈, 딘, 펀치넬로, 밀릭",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17010420,http://ticketimage.interpark.com/Play/image/large/17/17010420_p.gif
69,InterPark Ticket,2017. 58주년 기념 이미자 孝 대전음악회,2017.10.07,충남대학교 정심화홀,"이미자, 이택림",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17010051,http://ticketimage.interpark.com/Play/image/large/17/17010051_p.gif
70,InterPark Ticket,2017 SHIN HYE SUNG WEEKLY CONCERT ‘Serenity’,2017.09.09 ~ 2017.10.01,블루스퀘어 삼성카드홀,신혜성,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17009639,http://ticketimage.interpark.com/Play/image/large/17/17009639_p.gif
71,InterPark Ticket,청춘아레나 2017,2017.10.28,인천 문학 주경기장,"크러쉬, 유병재, 헤이즈",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17012201,http://ticketimage.interpark.com/Play/image/large/17/17012201_p.gif
72,InterPark Ticket,2017 조항조＆장윤정 콘서트 - 포항,2017.10.22,포항실내체육관,"장윤정, 조항조",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17010572,http://ticketimage.interpark.com/Play/image/large/17/17010572_p.gif
73,InterPark Ticket,쇼미더머니6 콘서트(Show Me The Money 6 Concert) - 대구,2017.10.28,대구 EXCO 1층 1홀,"다이나믹 듀오, 도끼, 넉살, 한해, 딘",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17010542,http://ticketimage.interpark.com/Play/image/large/17/17010542_p.gif
74,InterPark Ticket,2017 폴킴 단독 콘서트 〈느껴 밤〉,2017.10.27 ~ 2017.10.29,올림픽공원 K-아트홀,폴킴,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17012558,http://ticketimage.interpark.com/Play/image/large/17/17012558_p.gif
75,InterPark Ticket,김미경의 톡앤쇼 시즌3 〈부모의 자존감이 아이의 미래다〉,2017.11.11 ~ 2017.11.26,KT＆G 상상마당 대치아트홀,Null,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17012411,http://ticketimage.interpark.com/Play/image/large/17/17012411_p.gif
76,InterPark Ticket,라스트 웃찾사 빅 콘서트 - 인천,2017.09.17,인천문화예술회관 대공연장,Null,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17009961,http://ticketimage.interpark.com/Play/image/large/17/17009961_p.gif
77,InterPark Ticket,［ 2017 Theatre 이문세 ］ - 광주,2017.10.27 ~ 2017.10.28,광주문화예술회관 대극장,이문세,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17009733,http://ticketimage.interpark.com/Play/image/large/17/17009733_p.gif
78,InterPark Ticket,［BigCityBeats WORLD CLUB DOME KOREA］ 월드클럽돔 코리아 2017,2017.09.22 ~ 2017.09.24,인천문학경기장,"아민 반 뷰렌, 스티브 아오키, 아프로잭, W&W",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=16015850,http://ticketimage.interpark.com/Play/image/large/16/16015850_p.gif
79,InterPark Ticket,추석맞이 조항조＆장윤정 울산콘서트,2017.09.30,KBS 울산홀,"장윤정, 조항조",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17010494,http://ticketimage.interpark.com/Play/image/large/17/17010494_p.gif
80,InterPark Ticket,에드 시런(Ed Sheeran) 내한공연,2017.10.29,올림픽공원 88잔디마당,에드 시런,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17007908,http://ticketimage.interpark.com/Play/image/large/17/17007908_p.gif
81,InterPark Ticket,［ 2017 Theatre 이문세 ］ - 창원,2017.11.18 ~ 2017.11.19,창원성산아트홀 대극장,이문세,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17010447,http://ticketimage.interpark.com/Play/image/large/17/17010447_p.gif
82,InterPark Ticket,2017 이승철 theatre tour〈Oh! Happy Day〉 - 성남,2017.10.14,성남아트센터 오페라하우스,이승철,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17011411,http://ticketimage.interpark.com/Play/image/large/17/17011411_p.gif
83,InterPark Ticket,소리인생 45주년 〈2017 김영임의 소리 ‘孝’ 대공연〉 -  창원,2017.10.14,KBS 창원홀,김영임,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17011452,http://ticketimage.interpark.com/Play/image/large/17/17011452_p.gif
84,InterPark Ticket,［서울］2017 이루마 라이브 콘서트 〈Frame〉,2017.11.11,세종문화회관 대극장,이루마,http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17012150,http://ticketimage.interpark.com/Play/image/large/17/17012150_p.gif
85,InterPark Ticket,［부산］장윤정＆조항조 콘서트,2017.10.07,부산시민회관 대극장,"장윤정, 조항조",http://ticket.interpark.com/Ticket/Goods/GoodsInfo.asp?GroupCode=17009797,http://ticketimage.interpark.com/Play/image/large/17/17009797_p.gif
